step,time_ms,met_act,hc_release,aff_r_v,aff_i_v,enc_r_act,col_act,mot_act,enc_r_energy,col_energy,mot_energy,enc_r_heat,col_heat,mot_heat,aff_r_spikes,aff_i_spikes,mot_spikes
0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
1,1.0,5.742627617061283e-07,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
2,2.0,3.3984292922724857e-06,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
3,3.0,8.57873325904666e-06,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
4,4.0,1.6113760989286847e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
5,5.0,2.600209946987907e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
6,6.0,3.8242336347054555e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
7,7.0,5.283305992610718e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
8,8.0,6.977285917111101e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
9,9.000000000000002,8.906032370463814e-05,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
10,10.0,0.00011069404380747632,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
11,11.0,0.00013467261041834696,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
12,12.0,0.00016099461513362337,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
13,13.000000000000002,0.00018965865020704865,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
14,14.0,0.00022066330854945404,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
15,15.0,0.00025400718372847736,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
16,16.0,0.0002896888699682817,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
17,17.0,0.00032770696214927354,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
18,18.000000000000004,0.00036806005580782225,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
19,19.0,0.00041074674713597817,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
20,20.0,0.0004557656329811921,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
21,21.0,0.0005031153108460346,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
22,22.0,0.0005527943788879143,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
23,23.0,0.0006048014359187979,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
24,24.0,0.0006591350814049297,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
25,25.0,0.0007157939154665507,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
26,26.000000000000004,0.0007747765388776189,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
27,27.0,0.0008360815530655286,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
28,28.0,0.0008997075601108301,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
29,29.0,0.0009656531627469506,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
30,30.0,0.0010339169643599135,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
31,31.0,0.0011044975689880588,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
32,32.0,0.0011773935813217638,0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0
