path,owner_class,value,category
s1.adx.generator_address.parent_addresses[0].parent_addresses[0].version,StructuralAddress,0,DYNAMIC_CAUSAL
s1.adx.generator_address.parent_addresses[0].generation_depth,GeneratedAddress,1,DYNAMIC_CAUSAL
s1.adx.generator_address.parent_addresses[0].version,GeneratedAddress,0,DYNAMIC_CAUSAL
s1.adx.generator_address.parent_addresses[1].parent_addresses[0].version,StructuralAddress,0,DYNAMIC_CAUSAL
s1.adx.generator_address.parent_addresses[1].generation_depth,GeneratedAddress,1,DYNAMIC_CAUSAL
s1.adx.generator_address.parent_addresses[1].version,GeneratedAddress,0,DYNAMIC_CAUSAL
s1.adx.generator_address.generation_depth,GeneratedAddress,2,DYNAMIC_CAUSAL
s1.adx.generator_address.version,GeneratedAddress,0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.position[0],NeuronConfig,0.0,STATIC_PARAMETER
s1.adx.input_neuron.config.position[1],NeuronConfig,0.0,STATIC_PARAMETER
s1.adx.input_neuron.config.position[2],NeuronConfig,0.0,STATIC_PARAMETER
s1.adx.input_neuron.config.region,NeuronConfig,0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.capacitance,NeuronConfig,0.001,STATIC_PARAMETER
s1.adx.input_neuron.config.r_leak,NeuronConfig,1.0,STATIC_PARAMETER
s1.adx.input_neuron.config.v_rest,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.inertia,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.vdd,NeuronConfig,2.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.r_supply,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.channels,NeuronConfig,[0],DYNAMIC_CAUSAL
s1.adx.input_neuron.config.leak_conductance,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.leak_reversal,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.ca_capacitance,NeuronConfig,0.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.ca_r_leak,NeuronConfig,50.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.ca_release_threshold,NeuronConfig,0.3,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.ca_release_gm,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.v_peak,NeuronConfig,1.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.v_reset,NeuronConfig,-0.3,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.b_adapt,NeuronConfig,0.01,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.tau_w,NeuronConfig,0.1,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.trace_tau_pre,NeuronConfig,20.0,DYNAMIC_CAUSAL
s1.adx.input_neuron.config.trace_tau_post,NeuronConfig,20.0,DYNAMIC_CAUSAL
