config,case,dt,steps,v_from_0,v_from_09,bistable,v_fp_discrete,map_deriv,convergence_error,fixed_point_error
canonical_N1,C1_hard,0.001,20000,0.0,1.0,True,,,,
canonical_N1,C2_finite,0.001,20000,0.0,-1.1613114001584651e-14,False,1.0773790808283308,-8.003330557098122,1.0773790808283423,0.00019914542606636054
canonical_N1,C3_finite_dt/10,0.0001,200000,0.0,1.0,True,1.0775582934533132,0.09981668194359572,0.07755829345331322,1.9932801083921703e-05
canonical_N1,C3_finite_dt/100,1e-05,2000000,0.0,1.0690527910459633,True,1.077576232791561,0.9099831668069437,0.008523441745597715,1.9934628361362172e-06
canonical_N1,C3_finite_dt/1000,1e-06,20000000,0.0,1.076717163327326,True,1.0775780269062751,0.9909983316680568,0.0008608635789491004,1.9934812200972374e-07
legacy_N3_erratum,C1_hard,0.001,20000,0.0,1.0,True,,,,
legacy_N3_erratum,C2_finite,0.001,20000,0.0,-4.76360130006927e-14,False,1.2987641119908635,-6.006661114196245,1.2987641119909112,0.0009264378782152249
legacy_N3_erratum,C3_finite_dt/10,0.0001,200000,0.0,1.0,True,1.2995977770647034,0.2997833513878858,0.29959777706470336,9.277280437536284e-05
legacy_N3_erratum,C3_finite_dt/100,1e-05,2000000,0.0,1.2586377288922888,True,1.29968127129669,0.9299828334763881,0.041043542404401334,9.27857238863794e-06
legacy_N3_erratum,C3_finite_dt/1000,1e-06,20000000,0.0,1.2954276150575756,True,1.299689621998912,0.9929983283347263,0.004262006941336383,9.27870166700373e-07
