topology,param_name,param,n_fixed_points,n_stable,regime,domain
F1,k,0.5,1,1,single,B
F1,k,0.55,1,1,single,B
F1,k,0.6,1,1,single,B
F1,k,0.65,1,1,single,B
F1,k,0.7,1,1,single,B
F1,k,0.75,1,1,single,B
F1,k,0.8,1,1,single,B
F1,k,0.85,1,1,single,B
F1,k,0.9,1,1,single,B
F1,k,0.95,1,1,single,B
F1,k,1.0,1,1,single,B
F1,k,1.05,1,1,single,B
F1,k,1.1,1,1,single,B
F1,k,1.15,1,1,single,B
F1,k,1.2,1,1,single,B
F1,k,1.25,1,1,single,B
F1,k,1.3,1,1,single,B
F1,k,1.35,1,1,single,B
F1,k,1.4,1,1,single,B
F1,k,1.45,1,1,single,B
F1,k,1.5,1,1,single,B
F1,k,1.55,1,1,single,B
F1,k,1.6,1,1,single,B
F1,k,1.65,1,1,single,B
F1,k,1.7,1,1,single,B
F1,k,1.75,1,1,single,B
F1,k,1.8,1,1,single,B
F1,k,1.85,1,1,single,B
F1,k,1.9,1,1,single,B
F1,k,1.95,1,1,single,B
F1,k,2.0,1,1,single,B
F1,k,2.05,1,1,single,B
F1,k,2.1,1,1,single,B
F1,k,2.15,1,1,single,B
F1,k,2.2,1,1,single,B
F1,k,2.25,1,1,single,B
F1,k,2.3,1,1,single,B
F1,k,2.35,1,1,single,B
F1,k,2.4,3,2,multi,B
F1,k,2.45,3,2,multi,B
F1,k,2.5,3,2,multi,B
F1,k,2.55,3,2,multi,B
F1,k,2.6,3,2,multi,B
F1,k,2.65,3,2,multi,B
F1,k,2.7,3,2,multi,B
F1,k,2.75,3,2,multi,B
F1,k,2.8,3,2,multi,B
F1,k,2.85,3,2,multi,B
F1,k,2.9,3,2,multi,B
F1,k,2.95,3,2,multi,B
F1,k,3.0,3,2,multi,B
F1,k,3.05,3,2,multi,B
F1,k,3.1,3,2,multi,B
F1,k,3.15,3,2,multi,B
F1,k,3.2,3,2,multi,B
F1,k,3.25,3,2,multi,B
F1,k,3.3,3,2,multi,B
F1,k,3.35,3,2,multi,B
F1,k,3.4,3,2,multi,B
F1,k,3.45,3,2,multi,B
F1,k,3.5,3,2,multi,B
F1,k,3.55,3,2,multi,B
F1,k,3.6,3,2,multi,B
F1,k,3.65,3,2,multi,B
F1,k,3.7,3,2,multi,B
F1,k,3.75,3,2,multi,B
F1,k,3.8,3,2,multi,B
F1,k,3.85,3,2,multi,B
F1,k,3.9,3,2,multi,B
F1,k,3.95,3,2,multi,B
F1,k,4.0,3,2,multi,B
F1,k,4.05,3,2,multi,B
F1,k,4.1,3,2,multi,B
F1,k,4.15,3,2,multi,B
