agree,basin,i_fb_final,i_nonzero_when_off,part,predicted_refire,refired,rs,t_off,v_final,v_res,v_supply_final,v_u,vdd
,high,0.6983347214509388,0,A,,,0.0,,1.0,,1.0,,1.0
,high,0.4111879199256612,0,A,,,1.0,,1.0,,0.5888120800743388,,1.0
,high,0.08747392574655223,0,A,,,10.0,,1.0,,0.12526074253447766,,1.0
,high,0.009858823806074108,0,A,,,100.0,,1.0,,0.01411761939258914,,1.0
,high,0.3491673607254694,0,A,,,0.0,,1.0,,0.5,,0.5
,high,0.2055939599628306,0,A,,,1.0,,1.0,,0.2944060400371694,,0.5
,high,0.043736962873276115,0,A,,,10.0,,1.0,,0.06263037126723883,,0.5
,high,0.004929411903037054,0,A,,,100.0,,1.0,,0.00705880969629457,,0.5
,high,0.06983347214509388,0,A,,,0.0,,1.0,,0.1,,0.1
,high,0.04111879199256612,0,A,,,1.0,,1.0,,0.05888120800743388,,0.1
,high,0.008747392574655222,0,A,,,10.0,,1.0,,0.012526074253447768,,0.1
,MID(0.5799),0.0009653870563364181,0,A,,,100.0,,0.5798746487820745,,0.0034612943663581875,,0.1
,low,0.0,0,A,,,0.0,,0.00024036947641955207,,0.0,,0.0
,low,0.0,0,A,,,1.0,,0.00024036947641955207,,0.0,,0.0
,low,0.0,0,A,,,10.0,,0.00024036947641955207,,0.0,,0.0
,low,0.0,0,A,,,100.0,,0.00024036947641955207,,0.0,,0.0
True,,,,B,True,True,,60,,0.9048374180359612,,0.301002506033021,
True,,,,B,True,True,,300,,0.6065306597126391,,0.301002506033021,
True,,,,B,True,True,,600,,0.3678794411714493,,0.301002506033021,
True,,,,B,True,True,,719,,0.30169662082319004,,0.301002506033021,
True,,,,B,True,True,,720,,0.3011942119122089,,0.301002506033021,
True,,,,B,False,False,,721,,0.3006926396520101,,0.301002506033021,
True,,,,B,False,False,,723,,0.2996919995132532,,0.301002506033021,
True,,,,B,False,False,,1200,,0.1353352832366177,,0.301002506033021,
True,,,,B,False,False,,3000,,0.00673794699908612,,0.301002506033021,
