topology,param,init,settle,nearest_fp,match,persist_drift,persist_steps
F1,k=3.0,0.0,0.0,0.0,True,0.000e+00,120000
F1,k=3.0,0.1,0.0,0.0,True,1.929e-23,120000
F1,k=3.0,0.3,0.0,0.0,True,5.786e-23,120000
F1,k=3.0,0.5,0.0,0.0,True,1.495e-22,120000
F1,k=3.0,0.6,0.0,0.0,True,4.252e-22,120000
F1,k=3.0,0.65,0.0,0.0,True,1.591e-21,120000
F1,k=3.0,0.7,1.0,1.0,True,0.000e+00,120000
F1,k=3.0,0.75,1.0,1.0,True,0.000e+00,120000
F1,k=3.0,0.9,1.0,1.0,True,0.000e+00,120000
F1,k=3.0,1.0,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.0,0.0,0.0,True,0.000e+00,120000
F1,k=7.5,0.1,0.0,0.0,True,1.929e-23,120000
F1,k=7.5,0.3,0.0,0.0,True,5.786e-23,120000
F1,k=7.5,0.5,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.6,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.65,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.7,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.75,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,0.9,1.0,1.0,True,0.000e+00,120000
F1,k=7.5,1.0,1.0,1.0,True,0.000e+00,120000
F2,k=3.0,"(0.0,0.0)","(0.000000,0.000000)",,,,
F2,k=3.0,"(0.2,0.2)","(0.000000,0.000000)",,,,
F2,k=3.0,"(0.5,0.5)","(0.000000,0.000000)",,,,
F2,k=3.0,"(0.8,0.8)","(1.000000,1.000000)",,,,
F2,k=3.0,"(0.9,0.1)","(0.000000,0.000000)",,,,
F2,k=3.0,"(0.1,0.9)","(0.000000,0.000000)",,,,
F2,k=3.0,"(0.7,0.7)","(1.000000,1.000000)",,,,
F3,k_inh=3.0,"(0.0,0.0)","(0.315597,0.315597) winner=sym",,,0.000e+00,120000
F3,k_inh=3.0,"(0.32,0.32)","(0.315597,0.315597) winner=sym",,,0.000e+00,120000
F3,k_inh=3.0,"(0.4,0.2)","(0.333704,0.293882) winner=x",,,0.000e+00,120000
F3,k_inh=3.0,"(0.2,0.4)","(0.293882,0.333704) winner=y",,,0.000e+00,120000
F3,k_inh=3.0,"(0.34,0.3)","(0.333704,0.293882) winner=x",,,0.000e+00,120000
F3,k_inh=3.0,"(0.3,0.34)","(0.293882,0.333704) winner=y",,,0.000e+00,120000
F3,k_inh=3.0,"(1.0,0.0)","(0.333704,0.293882) winner=x",,,0.000e+00,120000
F3,k_inh=3.0,"(0.0,1.0)","(0.293882,0.333704) winner=y",,,0.000e+00,120000
F3,k_inh=0.5,"(0.0,0.0)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.32,0.32)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.4,0.2)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.2,0.4)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.34,0.3)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.3,0.34)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(1.0,0.0)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
F3,k_inh=0.5,"(0.0,1.0)","(0.328173,0.328173) winner=sym",,,0.000e+00,120000
