component,twin_A,twin_B,abs_diff,within_eps
s1.adx.input_activation,0.000000e+00,0.000000e+00,0.000e+00,True
s1.adx.input_pre_trace,2.484200e-217,2.484200e-217,0.000e+00,True
s1.adx.input_ema,2.484200e-219,2.484200e-219,0.000e+00,True
s1.adx.collector_vm,-1.851170e-213,-1.851170e-213,0.000e+00,True
s1.adx.collector_pre_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s1.adx.collector_post_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s1.adx.port_spike,0.000000e+00,0.000000e+00,0.000e+00,True
s1.ady.input_activation,0.000000e+00,0.000000e+00,0.000e+00,True
s1.ady.input_pre_trace,4.106075e-217,4.106075e-217,0.000e+00,True
s1.ady.input_ema,4.106075e-219,4.106075e-219,0.000e+00,True
s1.ady.collector_vm,-3.052064e-213,-3.052064e-213,0.000e+00,True
s1.ady.collector_pre_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s1.ady.collector_post_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s1.ady.port_spike,0.000000e+00,0.000000e+00,0.000e+00,True
s1.gate2_x.V_g,3.346356e-22,3.346356e-22,0.000e+00,True
s1.kernel2_x.h,1.612948e-36,1.612948e-36,0.000e+00,True
s1.gate2_y.V_g,3.517928e-22,3.517928e-22,0.000e+00,True
s1.downstream.v,4.340311e-01,4.340311e-01,0.000e+00,True
s2.adx.input_activation,0.000000e+00,0.000000e+00,0.000e+00,True
s2.adx.input_pre_trace,6.786832e-217,2.028617e-206,2.029e-206,True
s2.adx.input_ema,6.786832e-219,2.028617e-208,2.029e-208,True
s2.adx.collector_vm,-5.032003e-213,-1.332933e-202,1.333e-202,True
s2.adx.collector_pre_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s2.adx.collector_post_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s2.adx.port_spike,0.000000e+00,0.000000e+00,0.000e+00,True
s2.ady.input_activation,0.000000e+00,0.000000e+00,0.000e+00,True
s2.ady.input_pre_trace,1.121779e-216,3.353052e-206,3.353e-206,True
s2.ady.input_ema,1.121779e-218,3.353052e-208,3.353e-208,True
s2.ady.collector_vm,-8.296370e-213,-2.197635e-202,2.198e-202,True
s2.ady.collector_pre_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s2.ady.collector_post_tr,4.940656e-323,4.940656e-323,0.000e+00,True
s2.ady.port_spike,0.000000e+00,0.000000e+00,0.000e+00,True
s2.gate2_x.V_g,3.698296e-22,4.076696e-21,3.707e-21,True
s2.kernel2_x.h,1.905473e-36,1.040353e-34,1.021e-34,True
s2.gate2_y.V_g,3.887911e-22,4.285713e-21,3.897e-21,True
s2.downstream.v,4.340311e-01,4.340311e-01,0.000e+00,True
