traj,pair,delta_tau_raw_s,n2_delta_tau_hat,tau_i_s,tau_j_s
atk_CtoA,A->C,-0.597,-0.9342723004680215,0.639,0.639
atk_replaceB,A->C,0.599,0.9374021909218507,0.639,0.639
cal_C2_sim,A->B,0.008,0.012519561815316872,0.639,0.639
cal_C3_l,A->B,1.5170000000000001,2.374021909229462,0.639,0.639
cal_C3_m,A->B,0.606,0.948356807510253,0.639,0.639
cal_C3_s,A->B,0.209,0.32707355242515324,0.639,0.639
cal_C4_l,A->B,-1.499,-2.345852895144999,0.639,0.639
cal_C4_m,A->B,-0.59,-0.9233176838796192,0.639,0.639
cal_C4_s,A->B,-0.193,-0.3020344287945195,0.639,0.639
cal_C5_strong,A->B,0.159,0.2488262910794228,0.639,0.639
cal_C5_weak,A->B,0.459,0.7183098591538055,0.639,0.639
