traj,parent,occurrence_id,n0_count,n1_tau_phys_s,n3_A_i,n3_rho_i,q7_A_coarse_reldiff
atk_CtoA,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.06251052872360123,0.4332354489643557,0.04059382475007125
atk_CtoA,C,occ.thermal:thermpt23_warm#e1,1,0.639,0.08177713026782871,0.5667645510287138,0.012607215916236456
atk_replaceB,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5707886554749058,0.012596739154169766
atk_replaceB,C,occ.thermal:thermpt23_warm#e1,1,0.639,0.06151042768080113,0.42921134451811627,0.008331036405130225
cal_C0_A,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.999999999987775,0.012596739154169766
cal_C1_B,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.0816767637347554,0.9999999999877566,0.00010401717290762076
cal_C2_sim,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5003766831415372,0.012596739154169766
cal_C2_sim,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.0816767637347554,0.4996233168523458,0.00010401717290762076
cal_C3_l,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5711684196589253,0.012596739154169766
cal_C3_l,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.06141514205931439,0.4288315803340922,0.025074038198824564
cal_C3_m,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5707904824053793,0.012596739154169766
cal_C3_m,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.06150996898702072,0.4292095175876428,0.008330912139720615
cal_C3_s,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5037944138529526,0.012596739154169766
cal_C3_s,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.08056774133877911,0.49620558614088844,0.013171653400754681
cal_C4_l,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.06143667740002187,0.42928656394848697,0.00831103277248981
cal_C4_l,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.0816767637347554,0.5707134360445256,0.00010401717290762076
cal_C4_m,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.06251052872360123,0.433537017426287,0.04059382475007125
cal_C4_m,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.0816767637347554,0.5664629825667776,0.00010401717290762076
cal_C4_s,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08109276189969768,0.49820604675912833,0.01235501145193245
cal_C4_s,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.0816767637347554,0.501793953234728,0.00010401717290762076
cal_C5_strong,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5024703267828882,0.012596739154169766
cal_C5_strong,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.08099560525746408,0.49752967321096914,0.0003150936534541449
cal_C5_weak,A,occ.thermal:thermpt28_warm#e1,1,0.639,0.08179992155852486,0.5275652165921765,0.012596739154169766
cal_C5_weak,B,occ.thermal:thermpt31_warm#e1,1,0.639,0.07325185021366733,0.47243478340137396,0.002990706100261771
