traj,parent,occurrence_id,lineage_uid,n_parent_uids,t_up,t_down,t_rearm,t_up_s,t_down_s,t_rearm_s,raw_track_ref
cal_C0_A,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1521,1660,2160,1.5210000000000001,1.6600000000000001,2.16,research/d2_relation_v0/data/parent_traces/cal_C0_A.csv
cal_C1_B,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,1529,1668,2168,1.5290000000000001,1.668,2.168,research/d2_relation_v0/data/parent_traces/cal_C1_B.csv
cal_C2_sim,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1521,1660,2160,1.5210000000000001,1.6600000000000001,2.16,research/d2_relation_v0/data/parent_traces/cal_C2_sim.csv
cal_C2_sim,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,1529,1668,2168,1.5290000000000001,1.668,2.168,research/d2_relation_v0/data/parent_traces/cal_C2_sim.csv
cal_C3_s,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1521,1660,2160,1.5210000000000001,1.6600000000000001,2.16,research/d2_relation_v0/data/parent_traces/cal_C3_s.csv
cal_C3_s,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,1730,1869,2369,1.73,1.869,2.369,research/d2_relation_v0/data/parent_traces/cal_C3_s.csv
cal_C3_m,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1521,1660,2160,1.5210000000000001,1.6600000000000001,2.16,research/d2_relation_v0/data/parent_traces/cal_C3_m.csv
cal_C3_m,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,2127,2266,2766,2.1270000000000002,2.266,2.766,research/d2_relation_v0/data/parent_traces/cal_C3_m.csv
cal_C3_l,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1521,1660,2160,1.5210000000000001,1.6600000000000001,2.16,research/d2_relation_v0/data/parent_traces/cal_C3_l.csv
cal_C3_l,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,3038,3177,3677,3.0380000000000003,3.177,3.677,research/d2_relation_v0/data/parent_traces/cal_C3_l.csv
cal_C4_s,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,1722,1861,2361,1.722,1.861,2.361,research/d2_relation_v0/data/parent_traces/cal_C4_s.csv
cal_C4_s,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,1529,1668,2168,1.5290000000000001,1.668,2.168,research/d2_relation_v0/data/parent_traces/cal_C4_s.csv
cal_C4_m,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,2119,2258,2758,2.119,2.258,2.758,research/d2_relation_v0/data/parent_traces/cal_C4_m.csv
cal_C4_m,B,occ.thermal:thermpt31_warm#e1,occ.thermal:thermpt31_warm,1,1529,1668,2168,1.5290000000000001,1.668,2.168,research/d2_relation_v0/data/parent_traces/cal_C4_m.csv
cal_C4_l,A,occ.thermal:thermpt28_warm#e1,occ.thermal:thermpt28_warm,1,3028,3167,3667,3.028,3.1670000000000003,3.6670000000000003,research/d2_relation_v0/data/parent_traces/cal_C4_l.csv
