traj,g_rel,x_peak,x_end,e_start,e_end,energy_drop,transport_cost
cal_C0_A,0.25,2.5015132957874955,0.0,3.0,3.0,0.0,0.0
cal_C1_B,0.25,2.5015132957874955,0.0,3.0,3.0,0.0,0.0
cal_C2_sim,0.25,5.232840862129589,0.0,3.0,3.0,0.0,0.0
cal_C3_s,0.25,4.336114314244926,0.0,3.0,3.0,0.0,0.0
cal_C3_m,0.25,3.3352082324772376,0.0,3.0,3.0,0.0,0.0
cal_C3_l,0.25,2.636329852194571,0.0,3.0,3.0,0.0,0.0
cal_C4_s,0.25,4.395184480765184,0.0,3.0,3.0,0.0,0.0
cal_C4_m,0.25,3.36226946823685,0.0,3.0,3.0,0.0,0.0
cal_C4_l,0.25,2.6412716671906646,0.0,3.0,3.0,0.0,0.0
cal_C5_weak,0.25,3.6188382195171602,0.0,3.0,3.0,0.0,0.0
cal_C5_strong,0.25,4.5270800290261715,0.0,3.0,3.0,0.0,0.0
