episode,t_up,t_down,t_rearm,t_up_s,t_down_s,t_rearm_s,epoch
cal_K1a,1558,1697,2197,1.558,1.697,2.197,1
cal_K1b,6755,6894,7394,6.755,6.894,7.394,1
cal_K2a,1567,1706,2206,1.567,1.706,2.206,1
cal_K2b,1561,1700,2200,1.561,1.7,2.2,1
cal_K3a,1558,1697,2197,1.558,1.697,2.197,1
cal_K3b,1558,1697,2197,1.558,1.697,2.197,1
cal_K4a,1558,1697,2197,1.558,1.697,2.197,1
cal_K4b,1558,1697,2197,1.558,1.697,2.197,1
cal_K5a,25080,25219,25719,25.080000000000002,25.219,25.719,1
cal_K5b,41962,42101,42601,41.962,42.101,42.601,1
cal_K6a,1938,2077,2577,1.938,2.077,2.577,1
cal_K6b,1748,1887,2387,1.748,1.887,2.387,1
cal_K7a,1558,1697,2197,1.558,1.697,2.197,1
cal_K7b,1612,1751,2251,1.612,1.7510000000000001,2.251,1
cal_K8a,1558,1697,2197,1.558,1.697,2.197,1
cal_K8a,32152,32291,32791,32.152,32.291000000000004,32.791000000000004,2
cal_K8b,6755,6894,7394,6.755,6.894,7.394,1
cal_K8b,37239,37378,37878,37.239000000000004,37.378,37.878,2
