episode,e_start,e_end,energy_drop,sum_abs_u,l1_sat_frac,col_peak
cal_K1a,13.0,5.4,7.6,540.1453094105416,0.0,1.0011150170260978
cal_K1b,13.0,5.4,7.6,470.09165859819365,0.0,1.0012324288229164
cal_K2a,13.0,5.4,7.6,447.05820783001207,0.0,1.000825753027157
cal_K2b,13.0,5.4,7.6,526.4500374840994,0.0,1.0010087524545694
cal_K3a,13.0,5.4,7.6,497.4129111029539,0.0,1.0011150170260978
cal_K3b,13.0,5.4,7.6,328.3258855774804,0.0,1.001232428822815
cal_K4a,13.0,5.4,7.6,540.1453094105416,0.0,1.0011150170260978
cal_K4b,13.0,5.4,7.6,540.2048971907259,0.0,1.0011150170260978
cal_K5a,13.0,6.392049853186966,6.607950146813034,34.94117206008819,0.0,1.0
cal_K5b,13.0,6.3534720898928745,6.6465279101071255,21.7234014995686,0.0,1.0
cal_K6a,13.0,5.4,7.6,101.80658168999419,0.0,1.001060579271599
cal_K6b,13.0,5.4,7.6,169.6776361499903,0.0,1.0014314204534056
cal_K7a,13.0,2.7030871322809253,10.296912867719074,661.6466176034605,0.0,1.000675844731087
cal_K7b,13.0,2.827664788379947,10.172335211620053,552.3302563344383,0.0,1.0012950902256577
cal_K8a,13.0,5.4,7.6,359.00313505791627,0.0,1.0012324289140928
cal_K8b,13.0,6.35,6.65,343.9733055934738,0.0,1.001232428913981
