episode,theta_up,rearm,occ,triggered,ok
cal_K1a,0.005,0,1,True,True
cal_K1b,0.005,0,1,True,True
cal_K2a,0.005,0,1,True,True
cal_K2b,0.005,0,1,True,True
cal_K3a,0.005,0,1,True,True
cal_K3b,0.005,0,1,True,True
cal_K4a,0.005,0,1,True,True
cal_K4b,0.005,0,1,True,True
cal_K5a,0.005,0,1,True,True
cal_K5b,0.005,0,1,True,True
cal_K6a,0.005,0,1,True,True
cal_K6b,0.005,0,1,True,True
cal_K7a,0.005,0,1,True,True
cal_K7b,0.005,0,1,True,True
cal_K8a,0.005,0,2,True,True
cal_K8b,0.005,0,2,True,True
cal_K1a,0.005,200,1,True,True
cal_K1b,0.005,200,1,True,True
cal_K2a,0.005,200,1,True,True
cal_K2b,0.005,200,1,True,True
cal_K3a,0.005,200,1,True,True
cal_K3b,0.005,200,1,True,True
cal_K4a,0.005,200,1,True,True
cal_K4b,0.005,200,1,True,True
cal_K5a,0.005,200,1,True,True
cal_K5b,0.005,200,1,True,True
cal_K6a,0.005,200,1,True,True
cal_K6b,0.005,200,1,True,True
cal_K7a,0.005,200,1,True,True
cal_K7b,0.005,200,1,True,True
cal_K8a,0.005,200,2,True,True
cal_K8b,0.005,200,2,True,True
cal_K1a,0.005,500,1,True,True
cal_K1b,0.005,500,1,True,True
cal_K2a,0.005,500,1,True,True
cal_K2b,0.005,500,1,True,True
cal_K3a,0.005,500,1,True,True
cal_K3b,0.005,500,1,True,True
cal_K4a,0.005,500,1,True,True
cal_K4b,0.005,500,1,True,True
cal_K5a,0.005,500,1,True,True
cal_K5b,0.005,500,1,True,True
cal_K6a,0.005,500,1,True,True
cal_K6b,0.005,500,1,True,True
cal_K7a,0.005,500,1,True,True
cal_K7b,0.005,500,1,True,True
cal_K8a,0.005,500,2,True,True
cal_K8b,0.005,500,2,True,True
cal_K1a,0.005,1000,1,True,True
cal_K1b,0.005,1000,1,True,True
cal_K2a,0.005,1000,1,True,True
cal_K2b,0.005,1000,1,True,True
cal_K3a,0.005,1000,1,True,True
cal_K3b,0.005,1000,1,True,True
cal_K4a,0.005,1000,1,True,True
cal_K4b,0.005,1000,1,True,True
cal_K5a,0.005,1000,1,True,True
cal_K5b,0.005,1000,1,True,True
cal_K6a,0.005,1000,1,True,True
cal_K6b,0.005,1000,1,True,True
cal_K7a,0.005,1000,1,True,True
cal_K7b,0.005,1000,1,True,True
cal_K8a,0.005,1000,2,True,True
cal_K8b,0.005,1000,2,True,True
cal_K1a,0.005,2000,1,True,True
cal_K1b,0.005,2000,1,True,True
cal_K2a,0.005,2000,1,True,True
cal_K2b,0.005,2000,1,True,True
cal_K3a,0.005,2000,1,True,True
cal_K3b,0.005,2000,1,True,True
cal_K4a,0.005,2000,1,True,True
cal_K4b,0.005,2000,1,True,True
cal_K5a,0.005,2000,1,True,True
cal_K5b,0.005,2000,1,True,True
cal_K6a,0.005,2000,1,True,True
cal_K6b,0.005,2000,1,True,True
cal_K7a,0.005,2000,1,True,True
cal_K7b,0.005,2000,1,True,True
cal_K8a,0.005,2000,2,True,True
cal_K8b,0.005,2000,2,True,True
cal_K1a,0.005,10000,1,True,True
cal_K1b,0.005,10000,1,True,True
cal_K2a,0.005,10000,1,True,True
cal_K2b,0.005,10000,1,True,True
cal_K3a,0.005,10000,1,True,True
cal_K3b,0.005,10000,1,True,True
cal_K4a,0.005,10000,1,True,True
cal_K4b,0.005,10000,1,True,True
cal_K5a,0.005,10000,1,True,True
cal_K5b,0.005,10000,1,True,True
cal_K6a,0.005,10000,1,True,True
cal_K6b,0.005,10000,1,True,True
cal_K7a,0.005,10000,1,True,True
cal_K7b,0.005,10000,1,True,True
cal_K8a,0.005,10000,2,True,True
cal_K8b,0.005,10000,2,True,True
cal_K1a,0.005,25000,1,True,True
cal_K1b,0.005,25000,1,True,True
cal_K2a,0.005,25000,1,True,True
cal_K2b,0.005,25000,1,True,True
cal_K3a,0.005,25000,1,True,True
cal_K3b,0.005,25000,1,True,True
cal_K4a,0.005,25000,1,True,True
cal_K4b,0.005,25000,1,True,True
cal_K5a,0.005,25000,1,True,True
cal_K5b,0.005,25000,0,True,True
cal_K6a,0.005,25000,1,True,True
cal_K6b,0.005,25000,1,True,True
cal_K7a,0.005,25000,1,True,True
cal_K7b,0.005,25000,1,True,True
cal_K8a,0.005,25000,2,True,True
cal_K8b,0.005,25000,1,True,False
cal_K1a,0.005,40000,1,True,True
cal_K1b,0.005,40000,1,True,True
cal_K2a,0.005,40000,1,True,True
cal_K2b,0.005,40000,1,True,True
cal_K3a,0.005,40000,1,True,True
cal_K3b,0.005,40000,1,True,True
cal_K4a,0.005,40000,1,True,True
cal_K4b,0.005,40000,1,True,True
cal_K5a,0.005,40000,0,True,True
cal_K5b,0.005,40000,0,True,True
cal_K6a,0.005,40000,1,True,True
cal_K6b,0.005,40000,1,True,True
cal_K7a,0.005,40000,1,True,True
cal_K7b,0.005,40000,1,True,True
cal_K8a,0.005,40000,1,True,False
cal_K8b,0.005,40000,1,True,False
cal_K1a,0.01,0,1,True,True
cal_K1b,0.01,0,1,True,True
cal_K2a,0.01,0,1,True,True
cal_K2b,0.01,0,1,True,True
cal_K3a,0.01,0,1,True,True
cal_K3b,0.01,0,1,True,True
cal_K4a,0.01,0,1,True,True
cal_K4b,0.01,0,1,True,True
cal_K5a,0.01,0,1,True,True
cal_K5b,0.01,0,1,True,True
cal_K6a,0.01,0,1,True,True
cal_K6b,0.01,0,1,True,True
cal_K7a,0.01,0,1,True,True
cal_K7b,0.01,0,1,True,True
cal_K8a,0.01,0,2,True,True
cal_K8b,0.01,0,2,True,True
cal_K1a,0.01,200,1,True,True
cal_K1b,0.01,200,1,True,True
cal_K2a,0.01,200,1,True,True
