set,arm,occ_all,occ_delta_epoch,occ_q,closure_in_rearm_at_q,m_q,z_pre_q_activation,z_pre_q_membrane,energy_end,energy_drop,x_peak
near,near_11,"[[3332, 4931, 5387]]",[],[],0,0.25413416538479217,0.7725907632077378,1.176615836955479,2.6922000000000117,0.3077999999999883,5.241776519584268
near,near_10,"[[3332, 4931, 5387]]",[],[],0,-0.06444448569573025,0.0,0.03537730099851329,2.6922000000000117,0.3077999999999883,5.241776519584268
near,near_01,[],[],[],0,0.24651515534774537,0.7252623135071735,1.1493223951927425,2.6922000000000117,0.3077999999999883,2.8674034151398793
near,near_00,[],[],[],0,-0.07206349573277215,0.0,0.00808385923577616,2.6922000000000117,0.3077999999999883,2.5488247640593618
timing_control,tc_11,"[[3332, 5918, 6374]]",[],[],0,-0.0032614848671919106,0.0,0.2545520575435345,2.6922000000000117,0.3077999999999883,5.241776519584268
timing_control,tc_01,"[[5211, 5861, 6317]]",[],[],0,-0.010880494904238702,0.0,0.22725861578079726,2.6922000000000117,0.3077999999999883,2.6515585904685253
middle,middle_11,"[[3332, 4931, 5387]]",[],[],0,0.24575944069836986,0.7206494401853709,1.1466152122816058,2.738600000000013,0.2613999999999872,5.241776519584268
middle,middle_10,"[[3332, 4931, 5387]]",[],[],0,-0.07281921038215344,0.0,0.005376676324638557,2.738600000000013,0.2613999999999872,5.241776519584268
middle,middle_01,[],[],[],0,0.2446014962049463,0.7136099108227759,1.142467128679927,2.738600000000013,0.2613999999999872,2.8654897559970802
middle,middle_00,[],[],[],0,-0.0739771548755761,0.0,0.0012285927229591404,2.738600000000013,0.2613999999999872,2.546911104916558
