t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
0,0.6213852932558301,0.0,0.0,0.6213852932558301,0.0,0.0,3.728311759534981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.208757108373368,0.030914306058817776,0.0,1.208757108373368,0.030914306058817776,0.0,7.252542650240207,0.18548583635290666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.76551528605868,0.0878205286399132,0.0015380060157052819,1.76551528605868,0.0878205286399132,0.0015380060157052819,10.593091716352077,0.5269231718394792,0.009228036094231692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.2946286740942647,0.16655627358403705,0.005822944516065764,2.2946286740942647,0.16655627358403705,0.005822944516065764,13.767772044565584,0.9993376415042222,0.03493766709639458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.798696529336322,0.26360191704836683,0.013790485871372798,2.798696529336322,0.26360191704836683,0.013790485871372798,16.792179176017928,1.5816115022902006,0.08274291522823678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.280000726660687,0.3759814611869671,0.026149980109450955,3.280000726660687,0.3759814611869671,0.026149980109450955,19.68000435996412,2.2558887671218026,0.15689988065670568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.740550177596164,0.501178681809918,0.04342389100387349,3.740550177596164,0.501178681809918,0.04342389100387349,22.443301065576982,3.0070720908595074,0.2605433460232409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.182118645857998,0.6370662093955135,0.06598089990706947,4.182118645857998,0.6370662093955135,0.06598089990706947,25.092711875147987,3.82239725637308,0.39588539944241685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.606276964665311,0.7818455486229133,0.09406366927712827,4.606276964665311,0.7818455486229133,0.09406366927712827,27.637661787991863,4.691073291737479,0.5643820156627696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5.014420506476668,0.9339963492744016,0.12781210241497853,5.014420506476668,0.9339963492744016,0.12781210241497853,30.08652303886001,5.603978095646409,0.7668726144898712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5.407792625279029,1.0922335015815297,0.16728280620244082,5.407792625279029,1.0922335015815297,0.16728280620244082,32.44675575167417,6.5534010094891775,1.0036968372146446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5.787504681155978,1.2554708491775777,0.21246535395280677,5.787504681155978,1.2554708491775777,0.21246535395280677,34.725028086935865,7.532825095065465,1.2747921237168405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,6.154553163444998,1.422790498960661,0.2632958527598926,6.154553163444998,1.422790498960661,0.2632958527598926,36.92731898066998,8.536742993763967,1.5797751165593552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6.509834349751407,1.593416864603294,0.3196682413421156,6.509834349751407,1.593416864603294,0.3196682413421156,39.05900609850843,9.560501187619765,1.9180094480526935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6.854156871203487,1.7666947135935593,0.3814436781119517,6.854156871203487,1.7666947135935593,0.3814436781119517,41.124941227220916,10.600168281561357,2.2886620686717105,0.0,0.0,0.0,0.0,0.0,0.0,0.0015295956408414094,0.0,0.0
15,7.18825249773545,1.9420706003055144,0.44845832318648776,7.18825249773545,1.9420706003055144,0.44845832318648776,43.129514986412694,11.652423601833087,2.690749939118927,0.0,0.0,0.0,0.0,0.0,0.0,0.0042865090006060855,0.0,0.0
16,7.5127854092876944,2.1190771628396456,0.5205297707088219,7.5127854092876944,2.1190771628396456,0.5205297707088219,45.07671245572617,12.714462977037876,3.123178624252932,0.0,0.0,0.0,0.0,0.0,0.0,0.006964512088611548,0.0,0.0
17,7.828360178276775,2.2973198419271315,0.5974623478341378,7.828360178276775,2.2973198419271315,0.5974623478341378,46.97016106966065,13.783919051562789,3.5847740870048272,0.0,0.0,0.0,0.0,0.0,0.0,0.009568593757269414,0.0,0.0
18,8.135528654376973,2.476465648320169,0.6790514629163126,8.135528654376973,2.476465648320169,0.6790514629163126,48.81317192626184,14.858793889921014,4.074308777497876,0.0,0.0,0.0,0.0,0.0,0.0,0.01210330779782623,0.0,0.0
19,8.43479591361236,2.656233662711034,0.7650871568535172,8.43479591361236,2.656233662711034,0.7650871568535172,50.60877548167416,15.937401976266203,4.590522941121105,0.0,0.0,0.0,0.0,0.0,0.0,0.0145728220314921,0.0,0.0
20,8.726625409171643,2.8363870009556007,0.8553569874047922,8.726625409171643,2.8363870009556007,0.8553569874047922,52.35975245502985,17.018322005733605,5.132141924428754,0.0,0.0,0.0,0.0,0.0,0.0,0.016980960813290244,0.0,0.0
21,9.011443440541811,3.0167260185935643,0.9496483558893414,9.011443440541811,3.0167260185935643,0.9496483558893414,54.068660643250865,18.100356111561386,5.697890135336049,0.0,0.0,0.0,0.0,0.0,0.0,0.019331241910762728,0.0,0.0
22,9.289643039930358,3.1970825635169096,1.0477503684472655,9.289643039930358,3.1970825635169096,1.0477503684472655,55.737858239582145,19.182495381101457,6.286502210683594,0.0,0.0,0.0,0.0,0.0,0.0,0.021626908574217507,0.0,0.0
23,9.561587360018608,3.3773151151207865,1.1494553094850049,9.561587360018608,3.3773151151207865,1.1494553094850049,57.36952416011164,20.26389069072472,6.89673185691003,0.0,0.0,0.0,0.0,0.0,0.0,0.023870957492025446,0.0,0.0
