t,A_T0,A_T1,A_T2,B_T0,B_T1,B_T2,C_T0,C_T1,C_T2,A_u0,A_u1,A_u2,B_u0,B_u1,B_u2,C_u0,C_u1,C_u2
0,0.9950124791926823,0.0,0.0,0.9950124791926823,0.0,0.0,5.970074875156094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.935559821254392,0.049502491687458405,0.0,1.935559821254392,0.049502491687458405,0.0,11.61335892752635,0.29701495012475043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.8270861265951637,0.1406253461007417,0.0024627798490076567,2.8270861265951637,0.1406253461007417,0.0024627798490076567,16.96251675957098,0.8437520766044502,0.01477667909404594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.6743453548346903,0.26670340045482316,0.009324170562154946,3.6743453548346903,0.26670340045482316,0.009324170562154946,22.046072129008138,1.6002204027289386,0.05594502337292966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.481499646655438,0.42210074787568747,0.022082443348875574,4.481499646655438,0.42210074787568747,0.022082443348875574,26.888997879932624,2.5326044872541242,0.13249466009325342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.2522029249970945,0.6020519794827336,0.041873466948680466,5.2522029249970945,0.6020519794827336,0.041873466948680466,31.513217549982567,3.6123118768964004,0.2512408016920828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.989672021771277,0.8025279132264499,0.06953385268834825,5.989672021771277,0.8025279132264499,0.06953385268834825,35.93803213062766,4.815167479358697,0.41720311613008954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.696747231157722,1.0201220326589486,0.10565396302172854,6.696747231157722,1.0201220326589486,0.10565396302172854,40.18048338694633,6.120732195953689,0.6339237781303712,0.0,0.0,0.0,0.0,0.0,0.0,0.00023067190423750605,0.0,0.0
8,7.375943898583362,1.251954441349741,0.15062236873839593,7.375943898583362,1.251954441349741,0.15062236873839593,44.25566339150017,7.511726648098443,0.9037342124303753,0.0,0.0,0.0,0.0,0.0,0.0,0.005835313861902454,0.0,0.0
9,8.029496407488658,1.4955906313441174,0.2046630943394372,8.029496407488658,1.4955906313441174,0.2046630943394372,48.17697844493195,8.973543788064703,1.2279785660366227,0.0,0.0,0.0,0.0,0.0,0.0,0.011228343581602657,0.0,0.0
10,8.659395717020061,1.748972780755051,0.2678667833505857,8.659395717020061,1.748972780755051,0.2678667833505857,51.95637430212036,10.493836684530304,1.607200700103514,0.0,0.0,0.0,0.0,0.0,0.0,0.016426190197495222,0.0,0.0
11,9.267421426991156,2.010361648002526,0.34021673971626376,9.267421426991156,2.010361648002526,0.34021673971626376,55.604528561946935,12.062169888015152,2.0413004382975823,0.0,0.0,0.0,0.0,0.0,0.0,0.021443538734200324,0.0,0.0
12,9.85516919686949,2.2782874282796812,0.4216106529381785,9.85516919686949,2.2782874282796812,0.4216106529381785,59.13101518121693,13.669724569678085,2.529663917629071,0.0,0.0,0.0,0.0,0.0,0.0,0.02629355636468987,0.0,0.0
13,10.424074218977431,2.551508189917204,0.5118786890986637,10.424074218977431,2.551508189917204,0.5118786890986637,62.54444531386458,15.309049139503221,3.0712721345919825,0.0,0.0,0.0,0.0,0.0,0.0,0.03098808610806726,0.0,0.0
14,10.975431338996774,2.828974721526916,0.6107985237981611,10.975431338996774,2.828974721526916,0.6107985237981611,65.85258803398064,16.973848329161495,3.6647911427889666,0.0,0.0,0.0,0.0,0.0,0.0,0.03553781286133646,0.0,0.0
15,11.510412326237708,3.1098008011297265,0.7181078033410533,11.510412326237708,3.1098008011297265,0.7181078033410533,69.06247395742625,18.658804806778356,4.308646820046318,0.0,0.0,0.0,0.0,0.0,0.0,0.03995240591140002,0.0,0.0
16,12.030080719435857,3.39323805098422,0.8335144446898669,12.030080719435857,3.39323805098422,0.8335144446898669,72.18048431661515,20.35942830590532,5.0010866681392,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
17,12.53540460892998,3.6786546708200656,0.9567051206311252,12.53540460892998,3.6786546708200656,0.9567051206311252,75.2124276535799,22.071928024920393,5.74023072378675,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
18,13.02726766113206,3.9655174512732883,1.0873522224440553,13.02726766113206,3.9655174512732883,1.0873522224440553,78.16360596679237,23.793104707639728,6.524113334664331,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
19,13.50647864469553,4.253376561586923,1.22511954660291,13.50647864469553,4.253376561586923,1.22511954660291,81.03887186817319,25.52025936952154,7.3507172796174585,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
20,13.973779678417358,4.541852683675901,1.36966691337837,13.973779678417358,4.541852683675901,1.36966691337837,83.84267807050415,27.251116102055406,8.21800148027022,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
21,14.429853387576957,4.830626130654225,1.5206538925369757,14.429853387576957,4.830626130654225,1.5206538925369757,86.57912032546174,28.98375678392535,9.123923355221851,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
